20.4904087544 | 100 ;
23.3887640279 | 100 ;
30.5003217215 | 100 ;
37.1902304205 | 100 ;
42.4351541196 | 100 ;
46.082311354 | 100 ;
50.3180128368 | 100 ;
53.5348972793 | 100 ;
57.7800896235 | 100 ;
61.0041982667 | 100 ;
64.6717596001 | 100 ;
66.4336292738 | 100 ;
69.0781896868 | 100 ;
71.7248616694 | 100 ;
75.5515704173 | 100 ;
75.5515704173 | 100 ;
77.9086697844 | 100 ;
79.5301509604 | 100 ;
81.4474733469 | 100 ;
84.3993757055 | 90.5990477696 ;
84.8423888757 | 100 ;
84.8423888757 | 100 ;
86.467279734 | 100 ;
87.9451483985 | 84.018887315 ;
88.5364814474 | 100 ;
90.4590471341 | 33.1201663278 ;
91.9387078818 | 23.9215971 ;
91.1987943902 | 100 ;
87.0583476998 | 100 ;
86.910570774 | 100 ;
91.0508316437 | 0 ;
94.0113509865 | 0 ;
90.4590471341 | 100 ;
87.9451483985 | 100 ;
89.4236800381 | 61.9722223388 ;
90.7549260954 | 46.308860034 ;
91.6427225297 | 46.04899383 ;
92.5307584401 | 32.341657125 ;
90.1631947525 | 100 ;
89.7194660016 | 100 ;
87.3539214256 | 100 ;
92.8268236606 | 0 ;
95.6407728021 | 0 ;
91.3467637861 | 100 ;
88.2408016599 | 100 ;
90.7549260954 | 9.28948601492 ;
91.4947398323 | 51.1973899446 ;
92.6787877212 | 19.7078288929 ;
90.0152785269 | 100 ;
88.5364814474 | 100 ;
90.6069832918 | 24.317465179 ;
91.6427225297 | 39.577846426 ;
90.1631947525 | 100 ;
89.7194660016 | 100 ;
91.9387078818 | 0 ;
93.7151791741 | 0 ;
90.0152785269 | 100 ;
87.7973317129 | 100 ;
90.4590471341 | 7.98246108344 ;
93.5671032654 | 0 ;
90.4590471341 | 100 ;
87.5017182273 | 100 ;
89.5715697 | 38.8856253009 ;
92.2347198496 | 0 ;
91.6427225297 | 87.0921802765 ;
87.3539214256 | 100 ;
90.6069832918 | 0 ;
92.8268236606 | 0 ;
91.1987943902 | 100 ;
87.6495216561 | 100 ;
89.5715697 | 42.8569696894 ;
92.3827358165 | 0 ;
90.9028755458 | 100 ;
88.5364814474 | 100 ;
90.9028755458 | 9.14825511406 ;
92.0867105383 | 26.5544968228 ;
90.1631947525 | 100 ;
88.5364814474 | 100 ;
92.3827358165 | 0 ;
